Priority Num,Training Stage,Dependency,Config Name,Run Script,Done by Member,Status,Date Finished,Training Notes
1,Shared Backbone 100n d2 no-HF,,configs/backbone_stage_100_d2_nohf.json,"python rl_routing_FINAL.py --config configs/backbone_stage_100_d2_nohf.json",,Done,2026-05-03,"Finished. End-of-run best-checkpoint restore bug was fixed in trainer afterward."
2,Shared Backbone 150n d2 no-HF,,configs/backbone_stage_150_d2_nohf.json,"python rl_routing_FINAL.py --config configs/backbone_stage_150_d2_nohf.json",,Pending,,"Shared foundation for all current pipelines."
3,Main Pipeline Backbone 200n d3 no-HF,,configs/retraining_260/backbone_stage_200_d3_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260/backbone_stage_200_d3_nohf.json",,Pending,,"First 200n backbone for comparison."
4,Main Pipeline Backbone 200n d3 no-HF Further,,configs/retraining_260/backbone_stage_200_d3_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260/backbone_stage_200_d3_nohf_further.json",,Pending,,"Stabilization stage for the main 200n backbone."
5,Old-Based Backbone 200n d2 no-HF,,configs/retraining_260_old_based/backbone_stage_200_d2_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260_old_based/backbone_stage_200_d2_nohf.json",,Pending,,"Second 200n backbone for comparison."
6,Old-Based Backbone 200n d2 no-HF Further,,configs/retraining_260_old_based/backbone_stage_200_d2_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260_old_based/backbone_stage_200_d2_nohf_further.json",,Pending,,"Stabilization stage for the old-based 200n backbone."
7,200n Backbone Comparison / Decision Gate,,N/A,"Review 200n backbone logs, best checkpoints, and eval summaries",,Pending,,"Decide which 200n backbone is stronger. Continue old-based regardless, but use this result for later expansion."
8,Old-Based Warm 200n Balanced d2 no-HF,,configs/retraining_260_old_based/warm_stage_200_balanced_d2_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260_old_based/warm_stage_200_balanced_d2_nohf.json",,Pending,,"Per current plan, continue old-based only up to the first warm_stage_200 set."
9,Old-Based Warm 200n Safe d2 no-HF,,configs/retraining_260_old_based/warm_stage_200_safe_d2_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260_old_based/warm_stage_200_safe_d2_nohf.json",,Pending,,"Per current plan, no `_further` yet."
10,Old-Based Warm 200n Fast d2 no-HF,,configs/retraining_260_old_based/warm_stage_200_fast_d2_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260_old_based/warm_stage_200_fast_d2_nohf.json",,Pending,,"Per current plan, no `_further` yet."
11,Old-Based Warm 200n Balanced d2 no-HF Further,,configs/retraining_260_old_based/warm_stage_200_balanced_d2_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260_old_based/warm_stage_200_balanced_d2_nohf_further.json",,Later,,"Added for later specialization if 200n warm stages look promising."
12,Old-Based Warm 200n Safe d2 no-HF Further,,configs/retraining_260_old_based/warm_stage_200_safe_d2_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260_old_based/warm_stage_200_safe_d2_nohf_further.json",,Later,,"Added for later specialization if needed."
13,Old-Based Warm 200n Fast d2 no-HF Further,,configs/retraining_260_old_based/warm_stage_200_fast_d2_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260_old_based/warm_stage_200_fast_d2_nohf_further.json",,Later,,"Added for later specialization if needed."
14,Old-Based Backbone 260n d2 no-HF,,configs/retraining_260_old_based/backbone_stage_260_d2_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260_old_based/backbone_stage_260_d2_nohf.json",,Later,,"Deferred until after the 200n comparison and first old-based warm-stage check."
15,Old-Based Backbone 260n d2 no-HF Further,,configs/retraining_260_old_based/backbone_stage_260_d2_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260_old_based/backbone_stage_260_d2_nohf_further.json",,Later,,"Deferred."
16,Old-Based Warm 260n Balanced d2 no-HF,,configs/retraining_260_old_based/warm_stage_260_balanced_d2_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260_old_based/warm_stage_260_balanced_d2_nohf.json",,Later,,"Deferred."
17,Old-Based Warm 260n Safe d2 no-HF,,configs/retraining_260_old_based/warm_stage_260_safe_d2_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260_old_based/warm_stage_260_safe_d2_nohf.json",,Later,,"Deferred."
18,Old-Based Warm 260n Fast d2 no-HF,,configs/retraining_260_old_based/warm_stage_260_fast_d2_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260_old_based/warm_stage_260_fast_d2_nohf.json",,Later,,"Deferred."
19,Main Pipeline Warm 200n Balanced d3 no-HF,,configs/retraining_260/warm_stage_200_balanced_d3_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_200_balanced_d3_nohf.json",,Later,,"Fast profile-check option for the main pipeline."
20,Main Pipeline Warm 200n Safe d3 no-HF,,configs/retraining_260/warm_stage_200_safe_d3_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_200_safe_d3_nohf.json",,Later,,"Fast profile-check option for the main pipeline."
21,Main Pipeline Warm 200n Fast d3 no-HF,,configs/retraining_260/warm_stage_200_fast_d3_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_200_fast_d3_nohf.json",,Later,,"Fast profile-check option for the main pipeline."
22,Main Pipeline Warm 200n Balanced d3 no-HF Further,,configs/retraining_260/warm_stage_200_balanced_d3_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_200_balanced_d3_nohf_further.json",,Later,,"Deferred."
23,Main Pipeline Warm 200n Safe d3 no-HF Further,,configs/retraining_260/warm_stage_200_safe_d3_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_200_safe_d3_nohf_further.json",,Later,,"Deferred."
24,Main Pipeline Warm 200n Fast d3 no-HF Further,,configs/retraining_260/warm_stage_200_fast_d3_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_200_fast_d3_nohf_further.json",,Later,,"Deferred."
25,Main Pipeline Warm 260n Balanced d4 no-HF,,configs/retraining_260/warm_stage_260_balanced_d4_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_260_balanced_d4_nohf.json",,Later,,"Deferred."
26,Main Pipeline Warm 260n Safe d4 no-HF,,configs/retraining_260/warm_stage_260_safe_d4_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_260_safe_d4_nohf.json",,Later,,"Deferred."
27,Main Pipeline Warm 260n Fast d4 no-HF,,configs/retraining_260/warm_stage_260_fast_d4_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_260_fast_d4_nohf.json",,Later,,"Deferred."
28,Main Pipeline Warm 260n Balanced d4 no-HF Further,,configs/retraining_260/warm_stage_260_balanced_d4_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_260_balanced_d4_nohf_further.json",,Later,,"Deferred."
29,Main Pipeline Warm 260n Safe d4 no-HF Further,,configs/retraining_260/warm_stage_260_safe_d4_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_260_safe_d4_nohf_further.json",,Later,,"Deferred."
30,Main Pipeline Warm 260n Fast d4 no-HF Further,,configs/retraining_260/warm_stage_260_fast_d4_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_260_fast_d4_nohf_further.json",,Later,,"Deferred."
31,Exploratory Main Backbone 260n d4 no-HF,,configs/retraining_260/backbone_stage_260_d4_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260/backbone_stage_260_d4_nohf.json",,Later,,"Exploratory branch."
32,Exploratory Main Backbone 260n d4 no-HF Further,,configs/retraining_260/backbone_stage_260_d4_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260/backbone_stage_260_d4_nohf_further.json",,Later,,"Exploratory branch."
33,Exploratory Warm Stage 2 260n Balanced d4 no-HF,,configs/retraining_260/warm_stage_2_260_balanced_d4_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_2_260_balanced_d4_nohf.json",,Later,,"Exploratory branch."
34,Exploratory Warm Stage 2 260n Safe d4 no-HF,,configs/retraining_260/warm_stage_2_260_safe_d4_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_2_260_safe_d4_nohf.json",,Later,,"Exploratory branch."
35,Exploratory Warm Stage 2 260n Fast d4 no-HF,,configs/retraining_260/warm_stage_2_260_fast_d4_nohf.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_2_260_fast_d4_nohf.json",,Later,,"Exploratory branch."
36,Exploratory Warm Stage 2 260n Balanced d4 no-HF Further,,configs/retraining_260/warm_stage_2_260_balanced_d4_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_2_260_balanced_d4_nohf_further.json",,Later,,"Exploratory branch."
37,Exploratory Warm Stage 2 260n Safe d4 no-HF Further,,configs/retraining_260/warm_stage_2_260_safe_d4_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_2_260_safe_d4_nohf_further.json",,Later,,"Exploratory branch."
38,Exploratory Warm Stage 2 260n Fast d4 no-HF Further,,configs/retraining_260/warm_stage_2_260_fast_d4_nohf_further.json,"python rl_routing_FINAL.py --config configs/retraining_260/warm_stage_2_260_fast_d4_nohf_further.json",,Later,,"Exploratory branch."
